center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,betweenness_centrality,pagerank,source_trips,source_delayed_trips,source_avg_delay_ratio,destination_trips,destination_delayed_trips,destination_avg_delay_ratio,total_trips_handled,total_delayed_trips_handled,hub_delay_rate,weighted_total_degree_scaled,betweenness_centrality_scaled,pagerank_scaled,hub_delay_rate_scaled,total_delayed_trips_handled_scaled,bottleneck_score
IND110064AAB,1,0,1,11,0,11,0.0,0.0001648439177275243,0.0,0.0,0.0,11.0,11.0,2.092592592592593,11.0,11.0,1.0,0.005025125628140704,0.0,0.002559313780956124,1.0,0.005702436495593571,0.15262350963756544
IND000000AET,1,1,2,4,8,12,0.003226936380752222,0.0005465778138009304,8.0,8.0,2.4646938775510203,4.0,4.0,1.8025490196078433,12.0,12.0,1.0,0.005527638190954774,0.014652727980122864,0.02243042298571688,1.0,0.006220839813374806,0.160464302111919
IND000000AFF,1,1,2,3,3,6,3.648729512383788e-07,0.0002140096090239455,3.0,3.0,4.842105263157895,3.0,3.0,3.1794871794871797,6.0,6.0,1.0,0.0025125628140703522,1.6567987313571761e-06,0.005118627561912247,1.0,0.003110419906687403,0.152118843401586
IND734203AAA,1,0,1,3,0,3,0.0,0.00029759875672531765,0.0,0.0,0.0,3.0,3.0,4.842105263157895,3.0,3.0,1.0,0.0010050251256281408,0.0,0.009469849969438345,1.0,0.0015552099533437014,0.15237850776829626
IND000000AFG,0,2,2,0,4,4,0.0,0.00011567822643110314,4.0,4.0,2.0901268115942027,0.0,0.0,0.0,4.0,4.0,1.0,0.0015075376884422112,0.0,0.0,1.0,0.002073613271124935,0.1506879264127793
IND673027AAB,1,2,3,1,3,4,7.297459024767576e-07,0.00014026107207931374,3.0,3.0,6.785786901697281,1.0,1.0,1.826086956521739,4.0,4.0,1.0,0.0015075376884422112,3.3135974627143523e-06,0.0012796568904780625,1.0,0.002073613271124935,0.1509446861902406
IND673632AAA,2,4,6,8,15,23,0.0024373513142723706,0.0006725507267690156,15.0,8.0,1.302380477709425,8.0,8.0,2.116643772893773,23.0,16.0,0.6956521739130435,0.01105527638190955,0.011067415525465937,0.02898792688091534,0.6956521739130435,0.00829445308449974,0.11692025240265841
IND000000AFJ,1,2,3,1,21,22,7.297459024767576e-07,0.00014908675307923159,21.0,4.0,1.6511111111111112,1.0,1.0,1.6923076923076923,22.0,5.0,0.22727272727272727,0.010552763819095479,3.3135974627143523e-06,0.0017390765877061693,0.22727272727272727,0.002592016588906169,0.0374665462509258
IND695121AAA,1,2,3,20,18,38,0.00020414641621787293,0.0002363845692448486,18.0,18.0,1.684848484848485,20.0,3.0,1.08,38.0,21.0,0.5526315789473685,0.018592964824120605,0.00092697889019434,0.006283353258464605,0.5526315789473685,0.01088646967340591,0.09066436387338782
IND695572AAB,3,2,5,19,14,33,0.00020524103507158807,0.0005500824130827934,14.0,12.0,1.5842490842490844,19.0,19.0,1.757912457912458,33.0,31.0,0.9393939393939394,0.016080402010050253,0.0009319492863884115,0.022612854453724202,0.9393939393939394,0.01607050285121825,0.15209532505162815
