source_center,destination_center,trips,median_actual_time,mean_actual_time,median_osrm_time,mean_osrm_time,median_distance,median_osrm_distance,median_delay_ratio,mean_delay_ratio,delay_rate,delayed_trips,corridor
IND244501AAA,IND244601AAB,8,93.0,92.875,71.5,73.25,26.54221891799891,30.96275,1.3099206349206352,1.2752644254948522,0.75,6,IND244501AAA -> IND244601AAB
IND244601AAB,IND244901AAB,9,92.0,120.11111111111111,80.0,80.0,47.26548746983679,70.5827,1.1375,1.5045330433574688,0.4444444444444444,4,IND244601AAB -> IND244901AAB
IND244713AAA,IND244715AAA,1,45.0,45.0,36.0,36.0,23.865433585064675,24.3298,1.25,1.25,1.0,1,IND244713AAA -> IND244715AAA
IND244713AAA,IND263401AAA,16,45.5,47.0,22.0,22.25,19.16050293790928,24.23255,2.0217391304347827,2.1145186335403725,1.0,16,IND244713AAA -> IND263401AAA
IND244715AAA,IND244713AAA,16,37.5,38.5625,39.0,38.875,24.236839261737856,26.677100000000003,0.9615384615384617,0.9927779183535763,0.0,0,IND244715AAA -> IND244713AAA
IND244715AAA,IND263401AAA,1,83.0,83.0,61.0,61.0,26.49559890945469,47.7291,1.360655737704918,1.360655737704918,1.0,1,IND244715AAA -> IND263401AAA
IND244901AAB,IND243002AAA,16,107.0,108.375,45.0,45.1875,56.472480438075124,60.259299999999996,2.3729468599033816,2.3990942028985507,1.0,16,IND244901AAB -> IND243002AAA
IND244901AAB,IND243201AAA,1,185.0,185.0,63.0,63.0,45.66072762624124,72.38080000000001,2.9365079365079363,2.9365079365079363,1.0,1,IND244901AAB -> IND243201AAA
IND244901AAB,IND243503AAB,1,345.0,345.0,65.0,65.0,81.23545506220819,93.314,5.307692307692308,5.307692307692308,1.0,1,IND244901AAB -> IND243503AAB
IND244901AAB,IND244221AAA,20,98.5,110.25,99.0,99.25,55.57241832864093,89.691,0.9802436125965538,1.1083063325347429,0.3,6,IND244901AAB -> IND244221AAA
IND244901AAB,IND244301AAA,10,88.5,98.0,98.5,98.7,48.89977087170624,88.2498,0.8984230055658627,0.9917056277056278,0.1,1,IND244901AAB -> IND244301AAA
IND244901AAB,IND244921AAB,5,70.0,72.0,23.0,23.2,24.918525991556457,28.2658,3.0434782608695654,3.110144927536232,1.0,5,IND244901AAB -> IND244921AAB
IND244901AAB,IND246725AAB,14,143.5,143.64285714285714,126.0,125.85714285714286,82.10395819676481,117.8225,1.148,1.1413906821915119,0.21428571428571427,3,IND244901AAB -> IND246725AAB
IND244901AAC,IND244921AAB,1,42.0,42.0,24.0,24.0,21.077839761649443,28.5055,1.75,1.75,1.0,1,IND244901AAC -> IND244921AAB
IND244921AAB,IND243201AAA,2,87.0,87.0,40.5,40.5,25.601183932056827,45.5527,2.1373626373626373,2.1373626373626373,1.0,2,IND244921AAB -> IND243201AAA
IND244921AAB,IND262001AAA,1,168.0,168.0,83.0,83.0,60.9581535939352,99.3145,2.0240963855421685,2.0240963855421685,1.0,1,IND244921AAB -> IND262001AAA
IND245101AAA,IND201007AAA,2,134.5,134.5,49.5,49.5,44.206399018095496,46.364450000000005,2.719795918367347,2.719795918367347,1.0,2,IND245101AAA -> IND201007AAA
IND245101AAA,IND245304AAA,15,42.0,45.06666666666667,18.0,19.666666666666668,13.726641719917929,14.9945,2.333333333333333,2.4077922351736394,1.0,15,IND245101AAA -> IND245304AAA
IND245304AAA,IND201007AAA,13,90.0,94.0,35.0,35.92307692307692,29.99908497900616,31.869,2.647058823529412,2.6305509939731797,1.0,13,IND245304AAA -> IND201007AAA
IND245304AAA,IND245101AAA,14,26.5,27.142857142857142,16.0,15.714285714285714,12.448182784624347,15.96575,1.7104166666666667,1.749350999140915,1.0,14,IND245304AAA -> IND245101AAA
IND246001AAA,IND249201AAA,4,206.0,215.75,161.0,161.5,45.46933990412656,108.62049999999999,1.279503105590062,1.3363087299470335,1.0,4,IND246001AAA -> IND249201AAA
IND246149AAA,IND249407AAA,15,155.0,167.6,57.0,56.8,40.64676386929255,74.4466,2.689655172413793,2.9485292502193974,1.0,15,IND246149AAA -> IND249407AAA
IND246174AAA,IND246444AAB,16,113.0,118.625,92.5,93.25,38.16321240812806,62.1105,1.2083524027459955,1.2673449420485146,0.5,8,IND246174AAA -> IND246444AAB
IND246424AAA,IND246174AAA,16,175.0,353.625,139.0,139.4375,52.60152705949974,92.9496,1.2563086548488007,2.523368498286677,0.625,10,IND246424AAA -> IND246174AAA
IND246444AAB,IND246424AAA,15,60.0,58.666666666666664,42.0,41.733333333333334,17.409267900346382,28.0878,1.4090909090909092,1.4069786721158486,1.0,15,IND246444AAB -> IND246424AAA
IND246701AAA,IND246763AAA,12,49.0,51.333333333333336,25.0,25.333333333333332,30.902605461653835,34.26045,1.9230769230769234,2.0285897435897438,1.0,12,IND246701AAA -> IND246763AAA
IND246725AAB,IND246701AAA,10,49.0,49.0,34.0,33.8,29.095015265835926,37.17675,1.4844155844155844,1.4481862539737302,1.0,10,IND246725AAB -> IND246701AAA
IND246761AAA,IND244501AAA,10,46.0,48.1,99.0,99.2,30.15504163802851,59.060249999999996,0.462113558294605,0.4837891199462724,0.0,0,IND246761AAA -> IND244501AAA
IND246761AAA,IND244601AAB,1,59.0,59.0,48.0,48.0,36.05216386711573,46.8614,1.2291666666666667,1.2291666666666667,1.0,1,IND246761AAA -> IND244601AAB
IND246761AAA,IND244901AAB,1,149.0,149.0,122.0,122.0,76.0815122999368,121.4712,1.221311475409836,1.221311475409836,1.0,1,IND246761AAA -> IND244901AAB
IND246763AAA,IND244901AAB,3,227.0,232.66666666666666,154.0,155.0,112.15631348239368,166.1058,1.4610389610389611,1.5014338103510079,1.0,3,IND246763AAA -> IND244901AAB
IND246763AAA,IND246761AAA,11,77.0,79.0909090909091,31.0,30.818181818181817,35.5302904816254,43.7156,2.5161290322580645,2.5656059342029867,1.0,11,IND246763AAA -> IND246761AAA
IND247554AAA,IND248001AAA,12,153.0,150.75,129.0,128.41666666666666,71.16134129842592,91.68485,1.193798449612403,1.1737516729026698,0.3333333333333333,4,IND247554AAA -> IND248001AAA
IND247554AAA,IND248001AAD,2,180.5,180.5,128.0,128.0,70.9516373599226,91.3592,1.408258560703168,1.408258560703168,0.5,1,IND247554AAA -> IND248001AAD
IND247667AAA,IND249407AAA,14,71.0,83.14285714285714,37.0,37.07142857142857,26.61353489193347,30.53235,1.8439189189189191,2.2203764897694844,1.0,14,IND247667AAA -> IND249407AAA
IND247667AAB,IND249407AAA,2,95.5,95.5,36.5,36.5,26.915198971367605,30.3938,2.6189939939939944,2.6189939939939944,1.0,2,IND247667AAB -> IND249407AAA
IND247776AAA,IND251309AAB,9,32.0,32.55555555555556,18.0,18.11111111111111,22.21743251847232,24.5242,1.7777777777777777,1.7988953866146846,1.0,9,IND247776AAA -> IND251309AAB
IND248001AAA,IND131028AAB,12,439.0,451.9166666666667,214.5,214.5,176.76972404474193,246.82999999999998,2.0512809312687006,2.106775457376845,1.0,12,IND248001AAA -> IND131028AAB
IND248001AAD,IND131028AAB,9,449.0,474.0,212.0,212.88888888888889,177.540441250417,245.2824,2.078703703703704,2.2294110865319015,1.0,9,IND248001AAD -> IND131028AAB
IND248122AAB,IND248001AAA,15,74.0,74.53333333333333,38.0,34.733333333333334,17.82625010036936,35.2443,2.210526315789474,2.1648706314610204,1.0,15,IND248122AAB -> IND248001AAA
IND248197AAA,IND248122AAB,16,92.5,105.0,45.0,42.75,22.285063142261507,42.60015,2.377068557919622,2.4778745068750716,1.0,16,IND248197AAA -> IND248122AAB
IND249201AAA,IND246174AAA,4,276.0,277.5,163.0,163.0,54.624588146995606,110.6677,1.6880330689809966,1.7023725899324433,1.0,4,IND249201AAA -> IND246174AAA
IND249201AAA,IND249407AAA,17,197.0,292.6470588235294,27.0,26.294117647058822,20.07208687296368,21.7934,7.88,11.06258558435029,1.0,17,IND249201AAA -> IND249407AAA
